Link_Key	BookingID	UdidNumber	UdidValue	UdidDefinitions	
3YIICHN	3	11	F420171	COMPANY	
3YIICHN	3	13	0000	CODIGO GINEBRA	
3YIICHN	3	14	10-XX	SECTOR	
3YIICHN	3	15	362	LOCATION	
3YIICHN	3	17	SGS DE MEXICO-BA27955	PROYECT NUMBER	
3YIICHN	3	18	PROCESO INTERNO	AUTORIZADOR	
3YIICHN	3	25	1751	ACTIVITY	
3YIICHN	3	26	0	COST LEVEL	
3YIICHN	3	46	97146	GROUP ID	
4QCRCQY	4	11	F420171	COMPANY	
4QCRCQY	4	13	0000	CODIGO GINEBRA	
4QCRCQY	4	14	10-XX	SECTOR	
4QCRCQY	4	15	362	LOCATION	
4QCRCQY	4	17	SGS DE MEXICO-BA27954	PROYECT NUMBER	
4QCRCQY	4	18	PROCESO INTERNO	AUTORIZADOR	
4QCRCQY	4	25	1753	ACTIVITY	
4QCRCQY	4	26	0	COST LEVEL	
4QCRCQY	4	46	97146	GROUP ID	
5YFWIUX	5	11	F422102	COMPANY	
5YFWIUX	5	13	0000	CODIGO GINEBRA	
5YFWIUX	5	14	90-XX	SECTOR	
5YFWIUX	5	15	362	LOCATION	
5YFWIUX	5	17	SGS DE MEXICO-BA27956	PROYECT NUMBER	
5YFWIUX	5	18	JENNIFER DIAZ	AUTORIZADOR	
5YFWIUX	5	25	9052	ACTIVITY	
5YFWIUX	5	26	0	COST LEVEL	
5YFWIUX	5	46	97146	GROUP ID	
6VTFOLL	6	11	F421401	COMPANY	
6VTFOLL	6	13	0000	CODIGO GINEBRA	
6VTFOLL	6	14	500-XX	SECTOR	
6VTFOLL	6	15	241	LOCATION	
6VTFOLL	6	17	SGS DE MEXICO-BA27944	PROYECT NUMBER	
6VTFOLL	6	18	PROCESO INTERNO	AUTORIZADOR	
6VTFOLL	6	25	5143	ACTIVITY	
6VTFOLL	6	26	0	COST LEVEL	
6VTFOLL	6	46	97146	GROUP ID	
7YCCYWI	7	11	F421701	COMPANY	
7YCCYWI	7	13	0000	CODIGO GINEBRA	
7YCCYWI	7	14	60-XX	SECTOR	
7YCCYWI	7	15	362	LOCATION	
7YCCYWI	7	17	SGS DE MEXICO-BA27953	PROYECT NUMBER	
7YCCYWI	7	18	JENNIFER DIAZ	AUTORIZADOR	
7YCCYWI	7	25	6251	ACTIVITY	
7YCCYWI	7	26	0	COST LEVEL	
7YCCYWI	7	46	97146	GROUP ID	
8YFWIUX	8	11	F422102	COMPANY	
8YFWIUX	8	13	0000	CODIGO GINEBRA	
8YFWIUX	8	14	90-XX	SECTOR	
8YFWIUX	8	15	362	LOCATION	
8YFWIUX	8	17	SGS DE MEXICO-BA27956	PROYECT NUMBER	
8YFWIUX	8	18	JENNIFER DIAZ	AUTORIZADOR	
8YFWIUX	8	25	9052	ACTIVITY	
8YFWIUX	8	26	0	COST LEVEL	
8YFWIUX	8	46	97146	GROUP ID	
9MUVWDK	9	11	F422102	COMPANY	
9MUVWDK	9	13	0000	CODIGO GINEBRA	
9MUVWDK	9	14	90-XX	SECTOR	
9MUVWDK	9	15	362	LOCATION	
9MUVWDK	9	17	SGS DE MEXICO-BA27913	PROYECT NUMBER	
9MUVWDK	9	18	PROCESO INTERNO	AUTORIZADOR	
9MUVWDK	9	25	9052	ACTIVITY	
9MUVWDK	9	26	0	COST LEVEL	
9MUVWDK	9	46	97146	GROUP ID	
10VATHST	10	11	F424301	COMPANY	
10VATHST	10	13	0000	CODIGO GINEBRA	
10VATHST	10	14	520-XX	SECTOR	
10VATHST	10	15	362	LOCATION	
10VATHST	10	17	SGS DE MEXICO-BA27914	PROYECT NUMBER	
10VATHST	10	18	PROCESO INTERNO	AUTORIZADOR	
10VATHST	10	25	5280	ACTIVITY	
10VATHST	10	26	0	COST LEVEL	
10VATHST	10	46	97146	GROUP ID	
11QWHHPR	11	11	F422102	COMPANY	
11QWHHPR	11	13	0000	CODIGO GINEBRA	
11QWHHPR	11	14	99-XX	SECTOR	
11QWHHPR	11	15	362	LOCATION	
11QWHHPR	11	17	SGS DE MEXICO-BA27912	PROYECT NUMBER	
11QWHHPR	11	18	PROCESO INTERNO	AUTORIZADOR	
11QWHHPR	11	25	4270	ACTIVITY	
11QWHHPR	11	26	0	COST LEVEL	
11QWHHPR	11	46	97146	GROUP ID	
12QWHHPR	12	11	F422102	COMPANY	
12QWHHPR	12	13	0000	CODIGO GINEBRA	
12QWHHPR	12	14	99-XX	SECTOR	
12QWHHPR	12	15	362	LOCATION	
12QWHHPR	12	17	SGS DE MEXICO-BA27912	PROYECT NUMBER	
12QWHHPR	12	18	PROCESO INTERNO	AUTORIZADOR	
12QWHHPR	12	25	4270	ACTIVITY	
12QWHHPR	12	26	0	COST LEVEL	
